"Sr. No","Module Name","Sub-Module Name","Access","Functional Purpose","Base URL","Endpoint / Path","HTTP Method","Request Parameters","Request Body","Example Request Payload","Request Body Schema","Response (example/200)","Example Response Payload","Dependent APIs / Services","Owner / Developer","API Identifier","Comments"
"26","Holiday Template APIs Copy","Create","private","Create","{{baseURL}}","/api/attendance/holiday-templates/create","POST","headers: Authorization=Bearer {{jwtToken}}; Content-Type=application/json","{
  ""templateCode"": ""HOL2026"",
  ""templateName"": ""India Holiday Calendar 2026"",
  ""description"": ""National Holidays"",
  ""effectiveFrom"": ""2026-01-01"",
  ""effectiveTo"": ""2026-12-31"",
  ""optionModel"": ""ALLOWED"",
  ""templateMode"": ""DEFAULT"",
  ""isDefault"": ""Y"",
  ""isActive"": ""Y"",
  ""templateStatus"": ""DRAFT"",
  ""remarks"": ""2026"",
  ""holidays"": [
    {
      ""holidayName"": ""Republic Day"",
      ""occasion"": ""National Holiday"",
      ""holidayDate"": ""2026-01-26"",
      ""isOptional"": ""N"",
      ""isHalfDay"": ""N"",
      ""remarks"": """"
    }
  ],
  ""assignments"": [
    {
      ""employeeId"": 101,
      ""effectiveFrom"": ""2026-01-01"",
      ""effectiveTo"": ""2026-12-31"",
      ""isActive"": ""Y""
    }
  ]
}","{
  ""templateCode"": ""HOL2026"",
  ""templateName"": ""India Holiday Calendar 2026"",
  ""description"": ""National Holidays"",
  ""effectiveFrom"": ""2026-01-01"",
  ""effectiveTo"": ""2026-12-31"",
  ""optionModel"": ""ALLOWED"",
  ""templateMode"": ""DEFAULT"",
  ""isDefault"": ""Y"",
  ""isActive"": ""Y"",
  ""templateStatus"": ""DRAFT"",
  ""remarks"": ""2026"",
  ""holidays"": [
    {
      ""holidayName"": ""Republic Day"",
      ""occasion"": ""National Holiday"",
      ""holidayDate"": ""2026-01-26"",
      ""isOptional"": ""N"",
      ""isHalfDay"": ""N"",
      ""remarks"": """"
    }
  ],
  ""assignments"": [
    {
      ""employeeId"": 101,
      ""effectiveFrom"": ""2026-01-01"",
      ""effectiveTo"": ""2026-12-31"",
      ""isActive"": ""Y""
    }
  ]
}","{""templateCode"":""string"",""templateName"":""string"",""description"":""string"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""optionModel"":""string"",""templateMode"":""string"",""isDefault"":""string"",""isActive"":""string"",""templateStatus"":""string"",""remarks"":""string"",""holidays"":[{""holidayName"":""string"",""occasion"":""string"",""holidayDate"":""string"",""isOptional"":""string"",""isHalfDay"":""string"",""remarks"":""string""}],""assignments"":[{""employeeId"":""number"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""isActive"":""string""}]}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","post|/api/attendance/holiday-templates/create|holiday template apis copy|create","Source: collections/Holiday_Template_API.json; No saved response example in source file"
"27","Holiday Template APIs Copy","Get By Id","private","Get By Id","{{baseURL}}","/api/attendance/holiday-templates/getById/19","GET","headers: Authorization=Bearer {{jwtToken}}","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/attendance/holiday-templates/getbyid/19|holiday template apis copy|get by id","Source: collections/Holiday_Template_API.json; No saved response example in source file"
"28","Holiday Template APIs Copy","Get All","private","Get All","{{baseURL}}","/api/attendance/holiday-templates/getAll","GET","query: page=0; size=10 | headers: Authorization=Bearer {{jwtToken}}","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/attendance/holiday-templates/getall|holiday template apis copy|get all","Source: collections/Holiday_Template_API.json; No saved response example in source file"
"29","Holiday Template APIs Copy","Change Status","private","Change Status","{{baseURL}}","/api/attendance/holiday-templates/19/status","PATCH","headers: Authorization=Bearer {{jwtToken}}; Content-Type=application/json","{
  ""isActive"": ""N""
}","{
  ""isActive"": ""N""
}","{""isActive"":""string""}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","patch|/api/attendance/holiday-templates/19/status|holiday template apis copy|change status","Source: collections/Holiday_Template_API.json; No saved response example in source file"
"30","Latearly-Policy","update","private","Generated from cURL: curl --location --request PUT 'http://localhost:9079/api/attendance/late-early-policies/update/1' \
--header 'Authorization: Bearer <JWT_TOKEN>' \
--header 'Content-Type: application/json' \
--data '{
    ""policyCode"": ""LEP001"",
    ""policyName"": ""Updated Late/Early Policy"",
    ""description"": ""Updated Policy"",
    ""templateMode"": ""DEFAULT"",
    ""templateStatus"": ""PUBLISHED"",
    ""eventCountMinutes"": 20,
    ""graceMinutes"": 5,
    ""graceEvent"": 2,
    ""allowedEvent"": 3,
    ""deductionType"": ""LEAVE"",
    ""leaveDeductDays"": 1,
    ""leaveTypeId"": 1,
    ""fineAmount"": null,
    ""effectiveFrom"": ""2026-08-01"",
    ""effectiveTo"": null,
    ""isDefault"": ""N"",
    ""remarks"": ""Updated Policy"",
    ""deductionPriorities"": [
        {
            ""priorityOrder"": 1,
            ""leaveTypeId"": 1,
            ""isActive"": ""Y""
        }
    ],
    ""assignments"": [
        {
            ""employeeId"": 1001,
            ""effectiveFrom"": ""2026-08-01"",
            ""effectiveTo"": null,
            ""isActive"": ""Y""
        }
    ]
}'","{{baseURL}}","/api/attendance/late-early-policies/update/2","PUT","headers: Authorization=Bearer <JWT_TOKEN>; Content-Type=application/json","{
    ""policyCode"": ""LEP001"",
    ""policyName"": ""Updated Late/Early Policy"",
    ""description"": ""Updated Policy"",
    ""templateMode"": ""DEFAULT"",
    ""templateStatus"": ""PUBLISHED"",
    ""eventCountMinutes"": 5,
    ""graceMinutes"": 20,
    ""graceEvent"": 2,
    ""allowedEvent"": 3,
    ""deductionType"": ""LEAVE"",
    ""leaveDeductDays"": 1,
    ""leaveTypeId"": 1,
    ""fineAmount"": null,
    ""effectiveFrom"": ""2026-08-01"",
    ""effectiveTo"": null,
    ""isDefault"": ""N"",
    ""remarks"": ""Updated Policy"",
    ""deductionPriorities"": [
        {
            ""priorityOrder"": 3,
            ""leaveTypeId"": 1,
            ""isActive"": ""Y""
        }
    ],
    ""assignments"": [
        {
            ""employeeId"": 3844,
            ""effectiveFrom"": ""2026-08-01"",
            ""effectiveTo"": null,
            ""isActive"": ""Y""
        }
    ]
}","{
  ""policyCode"": ""LEP001"",
  ""policyName"": ""Updated Late/Early Policy"",
  ""description"": ""Updated Policy"",
  ""templateMode"": ""DEFAULT"",
  ""templateStatus"": ""PUBLISHED"",
  ""eventCountMinutes"": 5,
  ""graceMinutes"": 20,
  ""graceEvent"": 2,
  ""allowedEvent"": 3,
  ""deductionType"": ""LEAVE"",
  ""leaveDeductDays"": 1,
  ""leaveTypeId"": 1,
  ""fineAmount"": null,
  ""effectiveFrom"": ""2026-08-01"",
  ""effectiveTo"": null,
  ""isDefault"": ""N"",
  ""remarks"": ""Updated Policy"",
  ""deductionPriorities"": [
    {
      ""priorityOrder"": 3,
      ""leaveTypeId"": 1,
      ""isActive"": ""Y""
    }
  ],
  ""assignments"": [
    {
      ""employeeId"": 3844,
      ""effectiveFrom"": ""2026-08-01"",
      ""effectiveTo"": null,
      ""isActive"": ""Y""
    }
  ]
}","{""policyCode"":""string"",""policyName"":""string"",""description"":""string"",""templateMode"":""string"",""templateStatus"":""string"",""eventCountMinutes"":""number"",""graceMinutes"":""number"",""graceEvent"":""number"",""allowedEvent"":""number"",""deductionType"":""string"",""leaveDeductDays"":""number"",""leaveTypeId"":""number"",""fineAmount"":""null"",""effectiveFrom"":""string"",""effectiveTo"":""null"",""isDefault"":""string"",""remarks"":""string"",""deductionPriorities"":[{""priorityOrder"":""number"",""leaveTypeId"":""number"",""isActive"":""string""}],""assignments"":[{""employeeId"":""number"",""effectiveFrom"":""string"",""effectiveTo"":""null"",""isActive"":""string""}]}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","put|/api/attendance/late-early-policies/update/2|latearly-policy|update","Source: collections/Late_Early_Policy_API.json; No saved response example in source file"
"31","Latearly-Policy","getById/1","private","Generated from cURL: curl --location 'http://localhost:9079/api/attendance/late-early-policies/getById/1' \
--header 'Authorization: Bearer <JWT_TOKEN>'","{{baseURL}}","/api/attendance/late-early-policies/getById/5","GET","headers: Authorization=Bearer <JWT_TOKEN>","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/attendance/late-early-policies/getbyid/5|latearly-policy|getbyid/1","Source: collections/Late_Early_Policy_API.json; No saved response example in source file"
"32","Latearly-Policy","create","private","create","{{baseURL}}","/api/attendance/late-early-policies/create","POST","headers: Authorization=Bearer YOUR_JWT_TOKEN; Content-Type=application/json","{
    ""policyCode"": null,
    ""policyName"": ""Standard Laes Ears Policises1"",
    ""description"": ""Policy for late coming and early leaving"",

    ""templateMode"": ""CUSTOM"",

    ""eventCountMinutes"": 30,
    ""graceMinutes"": 10,
    ""graceEvent"": 2,
    ""allowedEvent"": 3,

    ""deductionType"": ""LEAVE"",

    ""leaveDeductDays"": 0.50,
    ""leaveTypeId"": 1,
    ""fineAmount"": null,

    ""effectiveFrom"": ""2026-08-01"",
    ""effectiveTo"": ""2026-12-31"",

    ""isDefault"": ""N"",
		""isActive"":""N"",
    ""remarks"": ""Applicable for regular employees"",

    ""deductionPriorities"": [
        {
            ""priorityOrder"": 1,
            ""leaveTypeId"": 1,
            ""isActive"": ""Y""
        },
        {
            ""priorityOrder"": 2,
            ""leaveTypeId"": 2,
            ""isActive"": ""Y""
        }
    ],

    ""assignments"": [
        {
            ""employeeId"": 3721,
            ""departmentId"": 141,
            ""designationId"": 51,
            ""effectiveFrom"": ""2026-08-01"",
            ""effectiveTo"": ""2026-12-31"",
            ""isActive"": ""Y""
        
        }
    ]
}","{
  ""policyCode"": null,
  ""policyName"": ""Standard Laes Ears Policises1"",
  ""description"": ""Policy for late coming and early leaving"",
  ""templateMode"": ""CUSTOM"",
  ""eventCountMinutes"": 30,
  ""graceMinutes"": 10,
  ""graceEvent"": 2,
  ""allowedEvent"": 3,
  ""deductionType"": ""LEAVE"",
  ""leaveDeductDays"": 0.5,
  ""leaveTypeId"": 1,
  ""fineAmount"": null,
  ""effectiveFrom"": ""2026-08-01"",
  ""effectiveTo"": ""2026-12-31"",
  ""isDefault"": ""N"",
  ""isActive"": ""N"",
  ""remarks"": ""Applicable for regular employees"",
  ""deductionPriorities"": [
    {
      ""priorityOrder"": 1,
      ""leaveTypeId"": 1,
      ""isActive"": ""Y""
    },
    {
      ""priorityOrder"": 2,
      ""leaveTypeId"": 2,
      ""isActive"": ""Y""
    }
  ],
  ""assignments"": [
    {
      ""employeeId"": 3721,
      ""departmentId"": 141,
      ""designationId"": 51,
      ""effectiveFrom"": ""2026-08-01"",
      ""effectiveTo"": ""2026-12-31"",
      ""isActive"": ""Y""
    }
  ]
}","{""policyCode"":""null"",""policyName"":""string"",""description"":""string"",""templateMode"":""string"",""eventCountMinutes"":""number"",""graceMinutes"":""number"",""graceEvent"":""number"",""allowedEvent"":""number"",""deductionType"":""string"",""leaveDeductDays"":""number"",""leaveTypeId"":""number"",""fineAmount"":""null"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""isDefault"":""string"",""isActive"":""string"",""remarks"":""string"",""deductionPriorities"":[{""priorityOrder"":""number"",""leaveTypeId"":""number"",""isActive"":""string""}],""assignments"":[{""employeeId"":""number"",""departmentId"":""number"",""designationId"":""number"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""isActive"":""string""}]}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","post|/api/attendance/late-early-policies/create|latearly-policy|create","Source: collections/Late_Early_Policy_API.json; No saved response example in source file"
"33","Latearly-Policy","getAll","private","getAll","{{baseURL}}","/api/attendance/late-early-policies/getAll","GET","query: page=0; size=10; sort=policyId,desc | headers: Authorization=Bearer <JWT_TOKEN>","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/attendance/late-early-policies/getall|latearly-policy|getall","Source: collections/Late_Early_Policy_API.json; No saved response example in source file"
"34","Latearly-Policy","ChangeStatus","private","Generated from cURL: curl --location --request PATCH 'http://localhost:9079/api/attendance/late-early-policies/5/status?status=Y' \
--header 'Authorization: Bearer <JWT_TOKEN>'","{{baseURL}}","/api/attendance/late-early-policies/5/status","PATCH","query: status=N | headers: Authorization=Bearer <JWT_TOKEN>","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","patch|/api/attendance/late-early-policies/5/status|latearly-policy|changestatus","Source: collections/Late_Early_Policy_API.json; No saved response example in source file"
"35","Attenedance-july2026","WeekOffActDeact","private","WeekOffActDeact","{{baseURL}}","/api/attendance/week-offs/actDeact/3/status","PATCH","headers: Authorization=Bearer YOUR_JWT_TOKEN; Content-Type=application/json","{
    ""status"":""N""
}","{
  ""status"": ""N""
}","{""status"":""string""}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","patch|/api/attendance/week-offs/actdeact/3/status|attenedance-july2026|weekoffactdeact","Source: collections/Weekoff_Policy_API.json; No saved response example in source file"
"36","Attenedance-july2026","WeekOffGetAll","private","WeekOffGetAll","{{baseURL}}","/api/attendance/week-offs/getAll","GET","query: page=0; size=10; sort=weekOffName,asc | headers: Authorization=Bearer YOUR_JWT_TOKEN","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/attendance/week-offs/getall|attenedance-july2026|weekoffgetall","Source: collections/Weekoff_Policy_API.json; No saved response example in source file"
"37","Attenedance-july2026","WeekOffGetById","private","WeekOffGetById","{{baseURL}}","/api/attendance/week-offs/getById/1","GET","headers: Authorization=Bearer YOUR_JWT_TOKEN","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","get|/api/attendance/week-offs/getbyid/1|attenedance-july2026|weekoffgetbyid","Source: collections/Weekoff_Policy_API.json; No saved response example in source file"
"38","Attenedance-july2026","WeekOffUpdate","private","WeekOffUpdate","{{baseURL}}","/api/attendance/week-offs/update/1","PUT","headers: Authorization=Bearer YOUR_JWT_TOKEN; Content-Type=application/json","{
    ""weekOffCode"": ""WO001"",
    ""weekOffName"": ""Updated Sunday Week Off"",
    ""description"": ""Updated Description"",
    ""optionModel"": ""ALLOWED"",
    ""isDefault"": ""N"",
    ""isActive"": ""Y"",
    ""details"": [
        {
            ""dayOfWeek"": ""SATURDAY"",
            ""weekNo"": 2,
            ""isWeekOff"": ""Y""
        },
        {
            ""dayOfWeek"": ""SUNDAY"",
            ""weekNo"": 1,
            ""isWeekOff"": ""Y""
        }
    ],
    ""assignments"": [
        {
            ""employeeId"": 101,
            ""departmentId"": 10,
            ""locationId"": 1,
            ""effectiveFrom"": ""2026-08-01"",
            ""effectiveTo"": ""2026-12-31"",
            ""isActive"": ""Y""
        }
    ]
}","{
  ""weekOffCode"": ""WO001"",
  ""weekOffName"": ""Updated Sunday Week Off"",
  ""description"": ""Updated Description"",
  ""optionModel"": ""ALLOWED"",
  ""isDefault"": ""N"",
  ""isActive"": ""Y"",
  ""details"": [
    {
      ""dayOfWeek"": ""SATURDAY"",
      ""weekNo"": 2,
      ""isWeekOff"": ""Y""
    },
    {
      ""dayOfWeek"": ""SUNDAY"",
      ""weekNo"": 1,
      ""isWeekOff"": ""Y""
    }
  ],
  ""assignments"": [
    {
      ""employeeId"": 101,
      ""departmentId"": 10,
      ""locationId"": 1,
      ""effectiveFrom"": ""2026-08-01"",
      ""effectiveTo"": ""2026-12-31"",
      ""isActive"": ""Y""
    }
  ]
}","{""weekOffCode"":""string"",""weekOffName"":""string"",""description"":""string"",""optionModel"":""string"",""isDefault"":""string"",""isActive"":""string"",""details"":[{""dayOfWeek"":""string"",""weekNo"":""number"",""isWeekOff"":""string""}],""assignments"":[{""employeeId"":""number"",""departmentId"":""number"",""locationId"":""number"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""isActive"":""string""}]}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","put|/api/attendance/week-offs/update/1|attenedance-july2026|weekoffupdate","Source: collections/Weekoff_Policy_API.json; No saved response example in source file"
"39","Attenedance-july2026","WeekOffMasterCreate","private","WeekOffMasterCreate","{{baseURL}}","/api/attendance/week-offs/create","POST","headers: Authorization=Bearer YOUR_JWT_TOKEN; Content-Type=application/json","{
    ""weekOffCode"": ""WO001"",
    ""weekOffName"": ""Sunday Week Off"",
    ""description"": ""Default Sunday Week Off"",
    ""optionModel"": ""ALLOWED"",
    ""isDefault"": ""Y"",
    ""isActive"": ""Y"",
    ""details"": [
        {
            ""dayOfWeek"": ""SUNDAY"",
            ""weekNo"": 1,
            ""isWeekOff"": ""Y""
        },
        {
            ""dayOfWeek"": ""SUNDAY"",
            ""weekNo"": 2,
            ""isWeekOff"": ""Y""
        },
        {
            ""dayOfWeek"": ""SUNDAY"",
            ""weekNo"": 3,
            ""isWeekOff"": ""Y""
        },
        {
            ""dayOfWeek"": ""SUNDAY"",
            ""weekNo"": 4,
            ""isWeekOff"": ""Y""
        },
        {
            ""dayOfWeek"": ""SUNDAY"",
            ""weekNo"": 5,
            ""isWeekOff"": ""Y""
        }
    ],
    ""assignments"": [
        {
            ""employeeId"": 101,
            ""departmentId"": 10,
            ""locationId"": 1,
            ""effectiveFrom"": ""2026-07-01"",
            ""effectiveTo"": ""2026-12-31"",
            ""isActive"": ""Y""
        }
    ]
}","{
  ""weekOffCode"": ""WO001"",
  ""weekOffName"": ""Sunday Week Off"",
  ""description"": ""Default Sunday Week Off"",
  ""optionModel"": ""ALLOWED"",
  ""isDefault"": ""Y"",
  ""isActive"": ""Y"",
  ""details"": [
    {
      ""dayOfWeek"": ""SUNDAY"",
      ""weekNo"": 1,
      ""isWeekOff"": ""Y""
    },
    {
      ""dayOfWeek"": ""SUNDAY"",
      ""weekNo"": 2,
      ""isWeekOff"": ""Y""
    },
    {
      ""dayOfWeek"": ""SUNDAY"",
      ""weekNo"": 3,
      ""isWeekOff"": ""Y""
    },
    {
      ""dayOfWeek"": ""SUNDAY"",
      ""weekNo"": 4,
      ""isWeekOff"": ""Y""
    },
    {
      ""dayOfWeek"": ""SUNDAY"",
      ""weekNo"": 5,
      ""isWeekOff"": ""Y""
    }
  ],
  ""assignments"": [
    {
      ""employeeId"": 101,
      ""departmentId"": 10,
      ""locationId"": 1,
      ""effectiveFrom"": ""2026-07-01"",
      ""effectiveTo"": ""2026-12-31"",
      ""isActive"": ""Y""
    }
  ]
}","{""weekOffCode"":""string"",""weekOffName"":""string"",""description"":""string"",""optionModel"":""string"",""isDefault"":""string"",""isActive"":""string"",""details"":[{""dayOfWeek"":""string"",""weekNo"":""number"",""isWeekOff"":""string""}],""assignments"":[{""employeeId"":""number"",""departmentId"":""number"",""locationId"":""number"",""effectiveFrom"":""string"",""effectiveTo"":""string"",""isActive"":""string""}]}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","post|/api/attendance/week-offs/create|attenedance-july2026|weekoffmastercreate","Source: collections/Weekoff_Policy_API.json; No saved response example in source file"
"40","Attenedance-july2026","week-off-assignment/getByWeekOffId","private","week-off-assignment/getByWeekOffId","{{baseURL}}","/api/attendance/week-off-assignment/getByWeekOff","POST","query: page=0; size=10; sort=employeeId,asc | headers: Authorization=Bearer <YOUR_JWT_TOKEN>; Content-Type=application/json","{
    ""weekOffId"": 1
}","{
  ""weekOffId"": 1
}","{""weekOffId"":""number""}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","post|/api/attendance/week-off-assignment/getbyweekoff|attenedance-july2026|week-off-assignment/getbyweekoffid","Source: collections/Weekoff_Policy_API.json; No saved response example in source file"
"41","Attenedance-july2026","week-off-assignment/changeStatus","private","Generated from cURL: curl --location --request PATCH 'http://localhost:8080/api/attendance/week-off-assignment/changeStatus' \
--header 'Authorization: Bearer <TOKEN>' \
--header 'Content-Type: application/json' \
--data '{
    ""assignmentId"": 1,
    ""status"": ""N""
}'","{{baseURL}}","/api/attendance/week-off-assignment/changeStatus","PATCH","headers: Authorization=Bearer <TOKEN>; Content-Type=application/json","{
    ""assignmentId"": 3,
    ""status"": ""N""
}","{
  ""assignmentId"": 3,
  ""status"": ""N""
}","{""assignmentId"":""number"",""status"":""string""}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","patch|/api/attendance/week-off-assignment/changestatus|attenedance-july2026|week-off-assignment/changestatus","Source: collections/Weekoff_Policy_API.json; No saved response example in source file"
"42","Login Auth UAT API","TC01 - Valid credentials return token","public","TC01 - Valid credentials return token","{{baseUrl}}","/auth/token","POST","headers: Content-Type=application/json","{
  ""empCode"": ""{{empCode}}"",
  ""password"": ""{{empPassword}}""
}","{
  ""empCode"": ""${EMP_CODE}"",
  ""password"": ""<empPassword>""
}","{""empCode"":""string"",""password"":""string""}","Expected status(es): 200
{
  ""empCode"": ""<empCode>"",
  ""roles"": [
    ""<role>""
  ],
  ""token"": ""<jwt-token>"",
  ""username"": ""<username>""
}","{
  ""empCode"": ""<empCode>"",
  ""roles"": [
    ""<role>""
  ],
  ""token"": ""<jwt-token>"",
  ""username"": ""<username>""
}","Produces authToken for downstream APIs","KavishTadas <kavish.tadas@omfysgroup.com>","post|/auth/token|login auth uat api|tc01 - valid credentials return token","Source: collections/auth/Login_Auth_UAT_API.json; Data-driven: test-data/auth/Login_Auth_UAT_API.csv; No saved response example in source file"
"43","users","Get profile","private","Status is 200; Email is a string","{{BASE_URL}}","/users/me","GET","auth: bearer token={{authToken}}","","","","Expected status(es): 200
{
  ""email"": ""<email>""
}","{
  ""email"": ""<email>""
}","Requires authToken from Employee Auth API; Depends on Employee Auth API POST /auth/token for authToken","KavishTadas <kavish.tadas@omfysgroup.com>","get|/users/me|users|get profile","Source: bruno/users/get-profile.bru; No saved response example in source file; Parsed from Bruno file"
"44","Holiday Template APIs Copy","Update","private","Update","{{baseURL}}","/api/attendance/holiday-templates/update/{holidayTemplateId}","PUT","path variables: holidayTemplateId=999999 | headers: Authorization=Bearer {{jwtToken}}; Content-Type=application/json","{}","{}","{}","","","","KavishTadas <kavish.tadas@omfysgroup.com>","put|/api/attendance/holiday-templates/update/{holidaytemplateid}|holiday template apis copy|update","Source: collections/Holiday_Template_API.json; No saved response example in source file"
"45","Holiday Template APIs Copy","Delete","private","Delete","{{baseURL}}","/api/attendance/holiday-templates/delete/{holidayTemplateId}","DELETE","path variables: holidayTemplateId=999999 | headers: Authorization=Bearer {{jwtToken}}","","","","","","","KavishTadas <kavish.tadas@omfysgroup.com>","delete|/api/attendance/holiday-templates/delete/{holidaytemplateid}|holiday template apis copy|delete","Source: collections/Holiday_Template_API.json; No saved response example in source file"
